city,preferred_city,category,pocket,best_side,entry_price,expected_ev_pct,tier,vol_ratio,historical_n,slug,question,mid,spread,volume,end_date
,False,box_office,0.03-0.10,YES,0.09,100.0,C,1.0,22,will-dune-3-or-avengers-doomsday-gross-more-on-their-opening-weekend-825,Will Dune 3 or Avengers: Doomsday gross more on their opening weekend?,0.079,0.022,37640,2026-12-20T00:00:00Z
,False,box_office,0.03-0.10,YES,0.037,100.0,C,1.0,22,will-toy-story-5-have-the-best-domestic-opening-weekend-in-2026,Will Toy Story 5 have the best domestic opening weekend in 2026?,0.035,0.004,179953,2026-12-31T00:00:00Z
,False,box_office,0.03-0.10,YES,0.051,100.0,C,1.0,22,will-the-devil-wears-prada-2-opening-weekend-box-office-be-less-than-70m,"Will ""The Devil Wears Prada 2"" Opening Weekend Box Office be less than 70m?",0.0465,0.009,14928,2026-05-04T12:00:00Z
,False,sports_global,0.65-0.80,NO,0.34,22.0,A,1.0,85,epl-ars-new-2026-04-25-ars,Will Arsenal FC win on 2026-04-25?,0.665,0.01,27268,2026-04-25T16:30:00Z
,False,sports_global,0.65-0.80,NO,0.35,22.0,A,1.0,85,will-khamzat-chimaev-be-the-ufc-middleweight-champion-on-december-31-2026,"Will Khamzat Chimaev be the UFC Middleweight Champion on December 31, 2026?",0.675,0.05,36412,2026-12-31T00:00:00Z
,False,sports_global,0.65-0.80,NO,0.34,22.0,A,1.0,85,bun-lei-uni-2026-04-24-lei,Will RB Leipzig win on 2026-04-24?,0.665,0.01,96373,2026-04-24T18:30:00Z
,False,sports_global,0.65-0.80,NO,0.27,22.0,A,1.0,85,wta-cirstea-grant-2026-04-24,Madrid Open: Sorana Cirstea vs Tyra Caterina Grant,0.735,0.01,179835,2026-05-01T09:00:00Z
,False,sports_global,0.65-0.80,NO,0.28,22.0,A,1.0,85,wta-sonmez-bucsa-2026-04-24,Madrid Open: Zeynep Sonmez vs Cristina Bucsa,0.725,0.01,150561,2026-05-01T09:00:00Z
,False,sports_global,0.65-0.80,NO,0.23,22.0,A,1.0,85,atp-fonseca-cilic-2026-04-24,Madrid Open: Joao Fonseca vs Marin Cilic,0.775,0.01,10540,2026-05-01T09:00:00Z
,False,sports_global,0.65-0.80,NO,0.29,22.0,A,1.0,85,ucl-psg1-bay1-2026-04-28-btts,Paris Saint-Germain FC vs. FC Bayern München: Both Teams to Score,0.72,0.02,10642,2026-04-28T19:00:00Z
,False,sports_global,0.65-0.80,NO,0.32,22.0,A,1.0,85,atp-shelton-prizmic-2026-04-24,Madrid Open: Ben Shelton vs Dino Prizmic,0.685,0.01,210851,2026-05-01T09:00:00Z
,False,sports_global,0.65-0.80,NO,0.33,22.0,A,1.0,85,epl-liv-cry-2026-04-25-liv,Will Liverpool FC win on 2026-04-25?,0.675,0.01,15083,2026-04-25T14:00:00Z
,False,sports_global,0.65-0.80,NO,0.23,22.0,A,1.0,85,epl-mac-cry-2026-03-21-mac,Will Manchester City FC win on 2026-03-21?,0.775,0.01,71909,2026-03-21T15:00:00Z
,False,sports_us,0.60-0.80,NO,0.26,12.0,B,1.0,100,nhl-playoffs-who-will-win-series-sabres-vs-bruins,NHL Playoffs: Who Will Win Series? - Sabres vs. Bruins ,0.75,0.02,60251,2026-05-04T00:00:00Z
,False,sports_us,0.60-0.80,NO,0.31,12.0,B,1.0,100,will-buffalo-sabres-advance-to-round-2-of-the-2026-nhl-playoffs,Will Buffalo Sabres advance to Round 2 of the 2026 NHL Playoffs?,0.73,0.08,12515,2026-05-05T00:00:00Z
