bucket,n,implied,actual,edge,se,ci_low,ci_high
"(-0.001, 0.05]",1926,0.014517393561786085,0.009345794392523364,-0.005171599169262721,0.0021925071259282438,0.005048480425704006,0.013643108359342722
"(0.05, 0.1]",592,0.07478462837837838,0.06418918918918919,-0.01059543918918919,0.010073122618694572,0.044445868856547825,0.08393250952183054
"(0.1, 0.15]",515,0.12661165048543688,0.13398058252427184,0.007368932038834958,0.015010015169861524,0.10456095279134325,0.16340021225720042
"(0.15, 0.2]",559,0.17751610017889088,0.19856887298747763,0.02105277280858675,0.01687263006179168,0.16549851806636595,0.23163922790858932
"(0.2, 0.25]",660,0.22743181818181818,0.23636363636363636,0.00893181818181818,0.01653718801756134,0.20395074784921613,0.2687765248780566
"(0.25, 0.3]",640,0.27656640625,0.3140625,0.037496093750000015,0.018346800048550275,0.2781027719048415,0.35002222809515854
"(0.3, 0.35]",419,0.3242398568019093,0.3436754176610978,0.019435560859188517,0.02320206069342555,0.29819937870198376,0.3891514566202119
"(0.35, 0.4]",314,0.37755095541401273,0.3471337579617834,-0.030417197452229316,0.026865548229513866,0.29447728343193624,0.3997902324916306
"(0.4, 0.45]",354,0.4273418079096045,0.4604519774011299,0.0331101694915254,0.026491441636263748,0.40852875179405296,0.5123752030082068
"(0.45, 0.5]",418,0.48336004784688996,0.507177033492823,0.023816985645932987,0.024453279845288008,0.45924860499605846,0.5551054619895874
"(0.5, 0.55]",705,0.5195269503546099,0.49361702127659574,-0.025909929078014204,0.01882955491813492,0.4567110936370513,0.5305229489161402
"(0.55, 0.6]",248,0.5764213709677419,0.5967741935483871,0.02035282258064519,0.031149661849188468,0.5357208563239777,0.6578275307727965
"(0.6, 0.65]",164,0.6251524390243903,0.5853658536585366,-0.03978658536585378,0.03847018730333074,0.5099642865440083,0.6607674207730648
"(0.65, 0.7]",165,0.6778515151515152,0.6242424242424243,-0.05360909090909094,0.03770409671643408,0.5503423946782134,0.6981424538066351
"(0.7, 0.75]",155,0.7279290322580645,0.7290322580645161,0.0011032258064516132,0.03569984410970472,0.6590605636094948,0.7990039525195374
"(0.75, 0.8]",135,0.776225925925926,0.725925925925926,-0.05030000000000001,0.038389569956445685,0.6506823688112924,0.8011694830405596
"(0.8, 0.85]",90,0.826211111111111,0.8222222222222222,-0.00398888888888882,0.04030065335921613,0.7432329416381586,0.9012115028062858
"(0.85, 0.9]",63,0.8762142857142857,0.9365079365079365,0.06029365079365079,0.03072169528783307,0.8762934137437837,0.9967224592720894
"(0.9, 0.95]",67,0.9278358208955224,0.9850746268656716,0.05723880597014919,0.014813571012293449,0.9560400276815765,1.0141092260497668
"(0.95, 1.0]",229,0.9836768558951965,0.9956331877729258,0.011956331877729265,0.004357267270902416,0.987092943921957,1.0041734316238944
