offset_h,tier,bucket,n,win_rate_pct,mean_pnl_pct,sum_pnl
12,A,0.36-0.40,68,23.5,-39.5,-26.9
24,A,0.36-0.40,122,51.6,35.2,42.9
48,A,0.36-0.40,67,58.2,53.2,35.6
72,A,0.36-0.40,30,46.7,23.4,7.0
12,A+,0.20-0.30,173,22.0,-13.7,-23.8
24,A+,0.20-0.30,323,26.3,4.2,13.7
48,A+,0.20-0.30,471,29.1,15.4,72.7
72,A+,0.20-0.30,651,27.8,11.5,74.6
120,A+,0.20-0.30,39,38.5,59.6,23.2
12,B,0.10-0.15,146,10.3,-14.5,-21.2
24,B,0.10-0.15,174,13.2,7.8,13.6
48,B,0.10-0.15,275,12.0,-4.1,-11.4
72,B,0.10-0.15,352,16.2,28.2,99.3
12,S,0.30-0.36,102,16.7,-49.6,-50.6
24,S,0.30-0.36,188,31.4,-6.8,-12.7
48,S,0.30-0.36,221,42.5,28.6,63.2
72,S,0.30-0.36,111,47.7,46.8,51.9
