slug,question,fav_price,fav_won,pnl,volume,closed_time
nor-kbk-bog-2026-04-06-total-1pt5,Kristiansund BK vs. FK Bodø/Glimt: O/U 1.5,0.88,True,0.12636363636363646,5449.98339,2026-04-06 19:14:45+00:00
highest-temperature-in-buenos-aires-on-april-5-2026-22c,Will the highest temperature in Buenos Aires be 22°C on April 5?,0.88,True,0.12636363636363646,7055.437580999999,2026-04-06 06:06:51+00:00
highest-temperature-in-munich-on-april-7-2026-19c,Will the highest temperature in Munich be 19°C on April 7?,0.88,True,0.12636363636363646,9099.370098000005,2026-04-08 01:29:57+00:00
highest-temperature-in-chongqing-on-april-7-2026-18c,Will the highest temperature in Chongqing be 18°C on April 7?,0.88,True,0.12636363636363646,5986.213503999999,2026-04-06 21:06:01+00:00
highest-temperature-in-wuhan-on-april-13-2026-24c,Will the highest temperature in Wuhan be 24°C on April 13?,0.88,True,0.12636363636363646,8580.445114999999,2026-04-13 19:32:45+00:00
highest-temperature-in-chicago-on-april-7-2026-34-35f,Will the highest temperature in Chicago be between 34-35°F on April 7?,0.88,True,0.12636363636363646,9828.347224,2026-04-07 20:00:17+00:00
highest-temperature-in-shenzhen-on-april-7-2026-31c,Will the highest temperature in Shenzhen be 31°C on April 7?,0.88,True,0.12636363636363646,8323.702155,2026-04-07 20:19:33+00:00
highest-temperature-in-tel-aviv-on-april-7-2026-21c,Will the highest temperature in Tel Aviv be 21°C on April 7?,0.88,True,0.12636363636363646,7287.307072999998,2026-04-08 00:45:45+00:00
highest-temperature-in-ankara-on-april-9-2026-11c,Will the highest temperature in Ankara be 11°C on April 9?,0.88,True,0.12636363636363646,9186.775116000012,2026-04-10 01:00:31+00:00
highest-temperature-in-shenzhen-on-april-11-2026-30c,Will the highest temperature in Shenzhen be 30°C on April 11?,0.88,True,0.12636363636363646,7742.327514000001,2026-04-11 20:23:47+00:00
highest-temperature-in-sao-paulo-on-april-11-2026-22c,Will the highest temperature in Sao Paulo be 22°C on April 11?,0.88,True,0.12636363636363646,6680.363465,2026-04-11 16:25:29+00:00
