category,p_range,n,implied_p,actual_p,bias_pp,best_side,ev_pct
sports_global,"(0.6, 0.7]",65,0.645,0.508,-13.76,NO,37.8
other,"(0.8, 0.9]",79,0.843,0.785,-5.78,NO,35.76
weather,"(0.3, 0.4]",141,0.339,0.447,10.79,YES,30.84
sports_global,"(0.2, 0.3]",154,0.256,0.318,6.21,YES,23.24
other,"(0.1, 0.2]",399,0.157,0.195,3.8,YES,23.14
sports_global,"(0.3, 0.4]",84,0.349,0.429,7.94,YES,21.74
other,"(0.7, 0.8]",209,0.75,0.694,-5.66,NO,21.66
other,"(0.6, 0.7]",228,0.652,0.583,-6.91,NO,18.88
esports,"(0.5, 0.6]",315,0.524,0.441,-8.25,NO,16.31
other,"(0.2, 0.3]",682,0.256,0.298,4.2,YES,15.41
weather,"(0.2, 0.3]",663,0.246,0.284,3.72,YES,14.12
sports_us,"(0.4, 0.5]",178,0.464,0.534,6.94,YES,13.94
sports_global,"(0.5, 0.6]",115,0.54,0.617,7.79,YES,13.43
weather,"(0.1, 0.2]",748,0.152,0.172,2.09,YES,12.8
sports_us,"(0.5, 0.6]",217,0.527,0.475,-5.24,NO,10.08
sports_us,"(0.3, 0.4]",61,0.364,0.295,-6.93,NO,9.9
sports_global,"(0.4, 0.5]",101,0.458,0.406,-5.22,NO,8.63
other,"(0.3, 0.4]",541,0.347,0.288,-5.82,NO,7.9
sports_global,"(0.1, 0.2]",84,0.156,0.167,1.07,YES,5.83
esports,"(0.4, 0.5]",162,0.467,0.432,-3.46,NO,5.48
sports_global,"(0.7, 0.8]",40,0.752,0.8,4.83,YES,5.42
esports,"(0.6, 0.7]",98,0.652,0.633,-1.92,NO,4.53
esports,"(0.7, 0.8]",56,0.746,0.732,-1.37,NO,4.37
other,"(0.4, 0.5]",463,0.455,0.475,2.05,YES,3.51
weather,"(0.4, 0.5]",33,0.443,0.424,-1.86,NO,2.35
other,"(0.5, 0.6]",460,0.544,0.557,1.27,YES,1.34
geopolitics,"(0.95, 1.0]",30,0.979,1.0,2.11,YES,1.16
other,"(0.95, 1.0]",83,0.982,1.0,1.8,YES,0.83
other,"(0.05, 0.1]",198,0.075,0.061,-1.44,NO,0.55
crypto_price_threshold,"(-0.001, 0.05]",104,0.015,0.0,-1.47,NO,0.49
esports,"(0.2, 0.3]",65,0.257,0.246,-1.1,NO,0.48
crypto_price_threshold,"(0.95, 1.0]",124,0.986,1.0,1.4,YES,0.42
esports,"(0.1, 0.2]",40,0.162,0.15,-1.18,NO,0.4
price_touch_threshold,"(-0.001, 0.05]",91,0.011,0.0,-1.07,NO,0.08
politics_election,"(-0.001, 0.05]",59,0.01,0.0,-1.05,NO,0.06
esports,"(0.3, 0.4]",97,0.358,0.361,0.28,YES,-0.22
sports_global,"(0.05, 0.1]",45,0.073,0.067,-0.6,NO,-0.35
other,"(-0.001, 0.05]",938,0.012,0.006,-0.56,NO,-0.43
weather,"(0.05, 0.1]",441,0.076,0.073,-0.34,NO,-0.63
sports_us,"(-0.001, 0.05]",181,0.002,0.0,-0.25,NO,-0.75
sports_global,"(-0.001, 0.05]",40,0.027,0.025,-0.19,NO,-0.8
weather,"(-0.001, 0.05]",929,0.02,0.019,-0.06,NO,-0.94
tweet_count,"(-0.001, 0.05]",155,0.007,0.006,-0.05,NO,-0.95
geopolitics,"(-0.001, 0.05]",83,0.012,0.012,-0.02,NO,-0.98
