lo,hi,n,mean,std,sharpe,win_rate
0.92,0.94,32,0.0631603094703515,0.006302543923995277,10.021399332083233,1.0
0.94,0.96,33,0.04252479661711998,0.006823745991750282,6.231884461779684,1.0
0.92,0.96,65,0.05268381832948011,0.01223218345760765,4.306983991211649,1.0
0.96,0.98,62,0.018071719983769344,0.005812218652101618,3.1092636160951828,1.0
0.94,0.98,95,0.02656594660377536,0.013182560703864114,2.0152341567437855,1.0
0.92,0.98,127,0.035786573467794555,0.019809203849885233,1.806562936046614,1.0
0.9,0.98,152,0.02969307625875675,0.12278636255305964,0.24182715117019196,0.9868421052631579
0.9,0.96,90,0.03769889947041475,0.15900350357700377,0.23709477226806866,0.9777777777777777
0.88,0.96,109,0.04048339360829505,0.17854122963878816,0.22674535002474308,0.9724770642201835
0.88,0.98,171,0.03235752363916877,0.14299500553192038,0.22628429236953798,0.9824561403508771
0.88,0.94,76,0.03959699493341054,0.2137649955727346,0.1852361039155144,0.9605263157894737
0.9,0.94,57,0.034904959017059076,0.19967694010866796,0.1748071609974749,0.9649122807017544
0.86,0.98,205,0.027383367470965685,0.19962569557114365,0.13717356071130962,0.9658536585365853
0.86,0.96,143,0.03142058526261725,0.23887168755762114,0.1315375027651107,0.951048951048951
0.92,1.0,389,0.00599804463974617,0.05626702853462922,0.10659963385226053,0.4730077120822622
0.72,0.74,69,0.05896347882492895,0.5634608207203973,0.10464521517138108,0.782608695652174
0.84,0.98,234,0.024302232655545066,0.23518742321649916,0.10333134452165801,0.9529914529914529
0.86,0.94,110,0.028089321856266433,0.2722416768791681,0.1031778902417414,0.9363636363636364
0.84,0.96,172,0.026548115130254915,0.27426330696817763,0.0967979108241966,0.936046511627907
0.52,0.56,276,0.07913929582667567,0.9142265670662392,0.08656420484545133,0.5869565217391305
0.88,0.92,44,0.022460038906544376,0.2796465221109798,0.08031581704288439,0.9318181818181818
0.84,0.94,139,0.02275509002905674,0.30494653852207526,0.07461993219972059,0.920863309352518
0.88,1.0,433,0.0076708569901829384,0.10399828624720028,0.07375945572746824,0.5196304849884527
0.52,0.54,151,0.06674164648969533,0.9362428010380949,0.0712866859063621,0.5695364238410596
0.86,0.9,53,0.02075929698522528,0.3329279121635774,0.06235372952155966,0.9056603773584906
0.9,1.0,414,0.005559642815899467,0.09123315294191123,0.0609388433548858,0.5
0.52,0.58,389,0.05044972906117709,0.9017910142800704,0.055943925213595945,0.5809768637532133
0.86,1.0,467,0.007284657100640937,0.14135586749020873,0.05153416854907365,0.5460385438972163
0.52,0.6,488,0.040191076548730734,0.8882321182590488,0.04524839366032606,0.5840163934426229
0.7,0.74,128,0.026871707948800554,0.5989298253542223,0.04486620437195283,0.75
0.86,0.92,78,0.01370122437356486,0.32217073703705695,0.04252783632546027,0.9102564102564102
0.84,1.0,496,0.007006183419050195,0.16854574280556237,0.04156843894379856,0.5645161290322581
0.5,0.56,469,0.038044251868623,0.9449626789233665,0.040260057584462834,0.5522388059701493
0.84,0.9,82,0.014309449391055115,0.36020046838345066,0.039726348650446566,0.8902439024390244
0.82,0.98,268,0.009845372468521811,0.2877584710956123,0.03421401438170184,0.9291044776119403
0.54,0.56,149,0.028128346945537928,0.9009409597729845,0.031221076853499476,0.5704697986577181
0.84,0.92,107,0.010671286083996624,0.3466367744832959,0.030785210541793985,0.897196261682243
0.72,0.76,134,0.016773501603430163,0.5753902114378314,0.029151524078790264,0.7611940298507462
0.5,0.58,582,0.026847513888349803,0.9305599436616674,0.028850923652169378,0.5549828178694158
0.5,0.6,681,0.022927391826728774,0.916886142082628,0.025005713113572834,0.5609397944199707
0.82,0.96,206,0.007369481468787118,0.32816176985930867,0.02245685556835765,0.9077669902912622
0.5,0.54,344,0.017669468308621213,0.9644654531923043,0.01832047819871274,0.5319767441860465
0.94,1.0,357,0.0008742561955462521,0.055920144912378886,0.01563401162346989,0.4257703081232493
0.7,0.76,193,0.008387294266248785,0.5946638827137285,0.014104260423507901,0.7461139896373057
0.52,0.62,573,0.009527645297920157,0.8807266062419105,0.010817937405768783,0.5741710296684118
